simple_subject,simple_ssd,simple_nstoptrials,simple_n_matched_go,simple_mean_violation,simple_mean_stopFailureRT,simple_mean_precedingGoRT,simple_condition,motor_subject,motor_ssd,motor_nstoptrials,motor_n_matched_go,motor_mean_violation,motor_mean_stopFailureRT,motor_mean_precedingGoRT,motor_condition
445,150.0,15.0,3.0,23.333333333333332,463.6666666666667,440.3333333333333,simple,445,150.0,19.0,2.0,136.5,604.5,468.0,motor
454,150.0,21.0,5.0,-69.0,518.2,587.2,simple,454,150.0,6.0,2.0,-67.5,463.0,530.5,motor
473,150.0,10.0,3.0,11.333333333333334,446.6666666666667,435.3333333333333,simple,473,150.0,11.0,2.0,3.0,490.0,487.0,motor
481,150.0,34.0,11.0,-22.818181818181817,424.8181818181818,447.6363636363636,simple,481,125.0,9.5,2.5,71.25,508.33333333333337,437.0833333333333,motor
493,150.0,6.0,3.0,207.66666666666666,847.0,639.3333333333334,simple,493,150.0,9.0,2.0,206.5,640.5,434.0,motor
505,100.0,7.0,2.0,95.16666666666667,576.8333333333334,481.6666666666667,simple,505,150.0,7.0,2.0,-36.5,442.5,479.0,motor
507,150.0,24.0,4.0,-121.5,463.0,584.5,simple,507,150.0,7.0,2.0,46.0,496.5,450.5,motor
509,75.0,23.0,7.0,-13.394505494505493,464.9650183150183,478.3595238095238,simple,509,50.0,9.0,2.0,105.5,749.0,643.5,motor
512,125.0,21.0,6.5,74.94444444444444,513.0833333333333,438.1388888888889,simple,512,0.0,13.0,2.0,95.0,616.0,521.0,motor
514,100.0,37.0,11.0,45.30687830687831,473.52380952380946,428.21693121693124,simple,514,0.0,10.0,3.0,45.666666666666664,469.6666666666667,424.0,motor
522,150.0,7.0,2.0,-72.0,401.5,473.5,simple,522,83.33333333333333,11.0,2.3333333333333335,41.833333333333336,464.1666666666667,422.3333333333333,motor
