simple_subject,simple_ssd,simple_nstoptrials,simple_n_matched_go,simple_mean_violation,simple_mean_stopFailureRT,simple_mean_precedingGoRT,simple_condition,selective_subject,selective_ssd,selective_nstoptrials,selective_n_matched_go,selective_mean_violation,selective_mean_stopFailureRT,selective_mean_precedingGoRT,selective_condition
343,150.0,22.0,2.0,-11.5,423.5,435.0,simple,343,150.0,11.0,2.0,11.5,481.5,470.0,selective
346,125.0,30.5,9.5,20.264285714285712,532.0357142857142,511.77142857142854,simple,346,75.0,10.5,3.5,27.875,603.125,575.25,selective
350,125.0,23.0,5.5,52.27777777777778,625.8055555555555,573.5277777777778,simple,350,100.0,13.333333333333334,3.6666666666666665,117.55555555555554,640.9444444444445,523.3888888888888,selective
358,75.0,19.5,6.25,10.191666666666663,492.4416666666666,482.25,simple,358,150.0,12.0,2.0,-101.0,520.0,621.0,selective
362,150.0,17.0,2.0,55.0,455.0,400.0,simple,362,150.0,17.0,4.0,-39.25,442.5,481.75,selective
386,25.0,7.0,4.0,226.33333333333331,870.75,644.4166666666667,simple,386,75.0,8.5,2.75,113.10416666666667,755.625,642.5208333333334,selective
387,150.0,26.0,5.0,57.0,529.2,472.2,simple,387,75.0,13.25,5.5,43.239583333333336,570.7916666666666,527.5520833333334,selective
388,83.33333333333333,26.333333333333332,8.0,-8.384313725490195,500.1019607843137,508.48627450980393,simple,388,125.0,16.0,3.5,42.95,495.2,452.25,selective
398,150.0,10.0,2.0,-2.0,445.5,447.5,simple,398,150.0,14.0,6.0,44.333333333333336,674.5,630.1666666666666,selective
403,125.0,12.5,5.0,-18.0,493.7,511.70000000000005,simple,403,150.0,8.0,2.0,-28.0,583.5,611.5,selective
412,75.0,21.5,7.5,-27.96577380952381,479.2554563492064,507.2212301587302,simple,412,66.66666666666667,8.666666666666666,4.333333333333333,-31.703703703703706,463.5740740740741,495.2777777777778,selective
427,125.0,37.5,6.0,47.95,462.35,414.4,simple,427,125.0,16.5,4.5,30.0,495.16666666666663,465.16666666666663,selective
431,100.0,18.333333333333332,5.333333333333333,47.20740740740741,524.2851851851851,477.0777777777778,simple,431,100.0,5.0,2.0,73.0,545.5,472.5,selective
446,150.0,22.0,3.0,-8.666666666666666,512.3333333333334,521.0,simple,446,125.0,9.5,3.0,10.0,491.25,481.25,selective
454,150.0,21.0,5.0,-69.0,518.2,587.2,simple,454,75.0,13.75,6.0,41.345238095238095,534.5208333333334,493.17559523809524,selective
460,125.0,13.0,5.0,23.25,496.6666666666667,473.41666666666663,simple,460,150.0,12.0,2.0,-70.0,489.5,559.5,selective
473,150.0,10.0,3.0,11.333333333333334,446.6666666666667,435.3333333333333,simple,473,150.0,12.0,4.0,89.0,544.25,455.25,selective
481,150.0,34.0,11.0,-22.818181818181817,424.8181818181818,447.6363636363636,simple,481,125.0,13.0,4.5,7.892857142857142,553.3214285714286,545.4285714285714,selective
495,125.0,27.0,8.0,104.83333333333333,661.0,556.1666666666667,simple,495,75.0,9.25,2.0,237.625,785.625,548.0,selective
497,150.0,20.0,4.0,35.25,542.75,507.5,simple,497,150.0,7.0,2.0,56.5,583.0,526.5,selective
507,150.0,24.0,4.0,-121.5,463.0,584.5,simple,507,100.0,12.5,5.0,-73.71428571428572,482.3571428571429,556.0714285714286,selective
512,125.0,21.0,6.5,74.94444444444444,513.0833333333333,438.1388888888889,simple,512,100.0,12.0,4.5,52.714285714285715,535.3214285714286,482.60714285714283,selective
514,100.0,37.0,11.0,45.30687830687831,473.52380952380946,428.21693121693124,simple,514,75.0,14.25,6.0,50.50694444444444,473.38194444444446,422.875,selective
521,150.0,10.0,3.0,-51.333333333333336,657.0,708.3333333333334,simple,521,25.0,6.0,3.0,271.5,1114.875,843.375,selective
529,150.0,19.0,4.0,26.75,511.75,485.0,simple,529,75.0,8.0,3.0,67.5,724.1666666666667,656.6666666666666,selective
539,125.0,23.5,5.0,3.125,482.0,478.875,simple,539,125.0,9.0,4.0,38.833333333333336,534.2,495.3666666666667,selective
545,150.0,23.0,6.0,121.16666666666667,533.3333333333334,412.1666666666667,simple,545,125.0,13.5,3.5,-18.291666666666664,457.04166666666663,475.3333333333333,selective
559,100.0,31.0,10.0,32.84722222222222,562.8680555555555,530.0208333333334,simple,559,75.0,11.75,3.0,93.14583333333333,651.625,558.4791666666666,selective
2,100.0,41.0,15.0,7.0631746031746045,329.42761904761903,322.3644444444444,simple,2,75.0,18.75,5.75,26.375,424.1666666666667,397.7916666666667,selective
3,125.0,20.0,4.5,-76.57142857142857,314.2142857142857,390.7857142857143,simple,3,75.0,35.0,11.75,47.584868421052626,390.0179824561404,342.4331140350877,selective
4,75.0,36.75,13.5,18.934535104364326,355.42963314357996,336.4950980392157,simple,4,75.0,36.5,9.25,24.59157509157509,361.5260989010989,336.93452380952385,selective
6,100.0,32.0,11.666666666666666,45.01388888888889,345.7916666666667,300.77777777777777,simple,6,125.0,18.5,4.5,-18.25,364.16666666666663,382.41666666666663,selective
9,150.0,23.0,5.0,-40.4,333.6,374.0,simple,9,100.0,46.0,14.333333333333334,-18.542761586239845,364.14126453256887,382.68402611880873,selective
10,150.0,17.0,2.0,80.0,428.5,348.5,simple,10,125.0,21.5,3.0,211.375,579.25,367.875,selective
11,75.0,33.5,11.75,29.92696078431372,359.89442959001786,329.96746880570413,simple,11,75.0,29.5,10.0,1.4461038961038941,344.2639610389611,342.8178571428572,selective
12,75.0,23.0,10.0,-15.669298245614035,276.6,292.2692982456141,simple,12,100.0,20.0,7.666666666666667,48.85714285714286,387.64285714285717,338.7857142857143,selective
13,125.0,28.0,8.0,137.16666666666666,542.9166666666666,405.75,simple,13,125.0,22.5,6.0,48.94444444444444,526.6666666666666,477.7222222222223,selective
14,150.0,11.0,2.0,39.5,428.5,389.0,simple,14,100.0,31.0,8.0,60.29494949494949,455.07878787878786,394.7838383838384,selective
16,125.0,47.5,17.5,26.97,376.74,349.77,simple,16,75.0,24.0,8.25,-15.808035714285714,356.64910714285713,372.4571428571429,selective
17,125.0,16.0,4.0,36.833333333333336,387.8666666666667,351.0333333333333,simple,17,100.0,23.666666666666668,5.333333333333333,76.98333333333333,455.81111111111113,378.8277777777778,selective
18,75.0,39.5,15.25,-23.024839743589745,301.05929487179486,324.08413461538464,simple,18,75.0,27.25,6.75,68.98484848484848,428.1666666666667,359.18181818181813,selective
21,75.0,21.0,8.75,18.528070175438597,404.1372807017543,385.6092105263158,simple,21,75.0,20.25,6.0,30.403571428571432,409.72589285714287,379.32232142857146,selective
22,150.0,49.0,10.0,-44.1,362.1,406.2,simple,22,75.0,29.75,7.0,99.28846153846153,510.3692307692308,411.08076923076925,selective
23,75.0,38.5,19.25,23.083671536796537,354.2328869047619,331.1492153679653,simple,23,75.0,25.0,9.0,-12.798015873015874,353.28541666666666,366.0834325396826,selective
