ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT,condition
150.0,15.0,2.0,-194.5,447.5,642.0,simple
150.0,12.0,3.0,47.0,620.6666666666666,573.6666666666666,simple
75.0,50.5,20.5,-24.38385429929548,300.15195017400896,324.53580447330444,simple
150.0,5.0,2.0,-56.5,511.0,567.5,simple
75.0,36.5,13.5,27.360576923076923,436.33653846153845,408.97596153846155,simple
83.33333333333333,27.333333333333332,7.0,19.061904761904763,428.69523809523804,409.6333333333334,simple
75.0,41.5,15.75,-10.98529411764706,376.718954248366,387.7042483660131,simple
150.0,27.0,9.0,-63.888888888888886,386.6666666666667,450.55555555555554,simple
100.0,11.333333333333334,2.3333333333333335,97.33333333333333,730.1666666666666,632.8333333333334,simple
125.0,57.0,18.0,3.7166666666666686,356.4666666666667,352.75,simple
100.0,33.333333333333336,10.666666666666666,15.585858585858587,442.22222222222223,426.6363636363637,simple
125.0,32.5,6.0,2.875,483.125,480.25,simple
125.0,12.0,4.0,68.2,612.3333333333333,544.1333333333333,simple
75.0,27.0,9.75,54.043154761904766,526.2291666666666,472.18601190476187,simple
75.0,53.0,23.25,-17.717923280423282,325.86712962962963,343.5850529100529,simple
125.0,36.0,9.0,-27.833333333333336,363.43333333333334,391.26666666666665,simple
75.0,25.25,7.5,-2.178571428571429,445.1892857142857,447.36785714285713,simple
150.0,31.0,4.0,6.25,453.0,446.75,simple
150.0,47.0,13.0,-30.076923076923077,382.15384615384613,412.2307692307692,simple
75.0,41.25,14.0,59.52840909090909,501.14826839826844,441.6198593073593,simple
75.0,22.5,7.0,45.58888888888889,511.73611111111114,466.14722222222224,selective
100.0,16.333333333333332,6.333333333333333,86.46666666666665,670.3000000000001,583.8333333333334,selective
150.0,19.0,3.0,152.0,519.6666666666666,367.6666666666667,selective
150.0,4.0,2.0,304.0,761.0,457.0,selective
75.0,19.75,5.25,37.221428571428575,567.2160714285714,529.9946428571428,selective
100.0,17.0,4.666666666666667,42.833333333333336,496.5,453.6666666666667,selective
75.0,43.25,15.25,63.285784313725486,477.6150910364146,414.329306722689,selective
100.0,10.0,2.0,186.0,755.5,569.5,selective
75.0,28.25,10.0,69.04304812834225,489.68964858670745,420.6466004583651,selective
150.0,27.0,2.0,-174.5,423.5,598.0,selective
75.0,35.25,11.75,132.58333333333334,533.3416666666666,400.7583333333333,selective
75.0,46.5,13.0,12.227777777777778,422.67638888888894,410.44861111111106,selective
125.0,21.0,2.0,113.0,500.25,387.25,selective
125.0,22.0,5.5,69.875,521.2678571428571,451.3928571428571,selective
150.0,7.0,2.0,-56.5,367.5,424.0,selective
75.0,8.5,2.5,-45.333333333333336,527.2083333333333,572.5416666666666,selective
125.0,12.5,4.0,-153.0,650.1666666666667,803.1666666666667,selective
150.0,18.0,6.0,101.33333333333333,522.6666666666666,421.3333333333333,selective
