subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,0.0,5,2,32.0,393.0,361.0
1,50.0,6,2,10.5,411.5,401.0
1,100.0,11,3,8.666666666666666,413.3333333333333,404.6666666666667
1,150.0,20,6,-42.0,406.6666666666667,448.6666666666667
1,200.0,20,13,5.230769230769231,401.7692307692308,396.53846153846155
1,250.0,13,7,-80.85714285714286,418.2857142857143,499.14285714285717
1,300.0,9,5,-4.4,432.2,436.6
1,350.0,3,2,-120.0,549.5,669.5
10,0.0,21,10,-61.0,318.9,379.9
10,50.0,20,5,79.8,446.4,366.6
10,100.0,19,8,-17.375,414.875,432.25
10,150.0,10,7,12.857142857142858,334.7142857142857,321.85714285714283
10,200.0,4,2,165.0,497.5,332.5
10,250.0,2,2,37.0,472.0,435.0
11,100.0,24,4,22.0,460.25,438.25
11,150.0,42,14,-12.0,366.85714285714283,378.85714285714283
11,200.0,33,18,-10.61111111111111,392.6666666666667,403.27777777777777
11,250.0,12,8,-46.0,425.75,471.75
13,50.0,8,2,26.5,384.5,358.0
13,150.0,32,12,105.58333333333333,494.8333333333333,389.25
13,200.0,26,14,11.357142857142858,451.2857142857143,439.92857142857144
13,250.0,16,8,-20.125,424.25,444.375
13,300.0,11,4,-14.75,443.5,458.25
13,350.0,4,3,-46.333333333333336,454.0,500.3333333333333
14,0.0,21,5,41.4,424.2,382.8
14,50.0,30,13,53.53846153846154,449.61538461538464,396.0769230769231
14,100.0,27,14,25.071428571428573,424.5,399.42857142857144
14,150.0,15,10,-21.0,376.4,397.4
14,200.0,6,4,62.75,434.75,372.0
16,50.0,8,5,-19.4,455.8,475.2
16,100.0,15,2,-53.5,462.0,515.5
16,150.0,34,10,11.1,465.5,454.4
16,200.0,35,19,-14.368421052631579,404.36842105263156,418.7368421052632
16,250.0,17,9,-5.111111111111111,438.0,443.1111111111111
16,300.0,4,2,-5.5,425.5,431.0
17,100.0,23,8,-14.25,436.0,450.25
17,150.0,26,13,21.46153846153846,468.53846153846155,447.0769230769231
17,200.0,22,10,-64.7,416.4,481.1
17,250.0,18,10,69.7,508.2,438.5
17,300.0,10,7,61.57142857142857,479.42857142857144,417.85714285714283
17,350.0,4,3,-48.0,338.6666666666667,386.6666666666667
18,100.0,17,3,-89.66666666666667,323.3333333333333,413.0
18,150.0,31,7,-85.28571428571429,381.2857142857143,466.57142857142856
18,200.0,27,14,-51.92857142857143,388.7142857142857,440.64285714285717
18,250.0,18,7,-9.857142857142858,429.2857142857143,439.14285714285717
18,300.0,10,8,-46.0,475.125,521.125
18,350.0,3,2,-23.0,486.5,509.5
2,150.0,31,4,-13.5,321.75,335.25
2,200.0,43,24,-36.791666666666664,374.0,410.7916666666667
2,250.0,25,13,11.692307692307692,389.53846153846155,377.84615384615387
2,300.0,8,7,-38.42857142857143,389.14285714285717,427.57142857142856
20,0.0,4,2,82.5,412.5,330.0
20,100.0,21,4,25.25,413.75,388.5
20,150.0,30,15,3.8666666666666667,435.1333333333333,431.26666666666665
