subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
10,0.0,13,7,12.857142857142858,474.57142857142856,461.7142857142857
10,50.0,13,6,-72.33333333333333,415.3333333333333,487.6666666666667
10,100.0,9,7,63.57142857142857,506.14285714285717,442.57142857142856
10,150.0,2,2,55.5,372.0,316.5
12,50.0,13,4,-116.25,406.75,523.0
12,100.0,22,6,39.5,445.8333333333333,406.3333333333333
12,150.0,35,13,-17.692307692307693,430.84615384615387,448.53846153846155
12,200.0,29,18,72.5,495.94444444444446,423.44444444444446
12,250.0,10,5,37.8,466.0,428.2
13,100.0,29,10,-29.0,310.3,339.3
13,150.0,26,14,-14.071428571428571,368.42857142857144,382.5
13,200.0,25,10,-45.9,415.8,461.7
13,250.0,18,10,-26.8,447.1,473.9
14,100.0,9,2,55.5,625.0,569.5
14,150.0,14,4,11.0,514.5,503.5
14,200.0,22,8,-18.75,432.75,451.5
14,250.0,22,11,-43.90909090909091,413.8181818181818,457.72727272727275
14,300.0,19,5,-55.2,498.2,553.4
14,350.0,18,7,19.857142857142858,541.1428571428571,521.2857142857143
14,400.0,10,6,-138.83333333333334,423.0,561.8333333333334
15,100.0,18,5,-2.8,426.4,429.2
15,150.0,33,11,-31.454545454545453,396.09090909090907,427.54545454545456
15,200.0,36,15,12.666666666666666,387.8666666666667,375.2
15,250.0,19,14,-64.14285714285714,399.35714285714283,463.5
15,300.0,4,2,-67.0,322.0,389.0
16,250.0,12,4,-57.5,535.25,592.75
16,300.0,27,8,39.75,593.75,554.0
16,350.0,41,16,8.0625,591.25,583.1875
16,400.0,28,15,-20.133333333333333,609.5333333333333,629.6666666666666
17,0.0,20,7,66.85714285714286,391.7142857142857,324.85714285714283
17,50.0,26,9,-10.0,358.44444444444446,368.44444444444446
17,100.0,24,12,19.416666666666668,370.8333333333333,351.4166666666667
17,150.0,15,9,-22.0,339.8888888888889,361.8888888888889
17,200.0,10,5,-6.2,434.6,440.8
17,250.0,10,4,-85.5,379.5,465.0
17,300.0,5,3,31.0,515.3333333333334,484.3333333333333
18,150.0,32,7,48.142857142857146,407.42857142857144,359.2857142857143
18,200.0,49,19,-10.210526315789474,393.8421052631579,404.05263157894734
18,250.0,28,21,-7.333333333333333,391.85714285714283,399.1904761904762
18,300.0,4,4,-7.5,415.75,423.25
19,0.0,15,7,-7.428571428571429,370.57142857142856,378.0
19,50.0,20,4,37.25,439.25,402.0
19,100.0,23,10,-29.4,434.6,464.0
