ssd,subject,violation,study
500.0,1002,-93.24137931034485,FixedSSDs2
0.0,1003,,FixedSSDs2
50.0,1003,98.66666666666669,FixedSSDs2
100.0,1003,-5.4,FixedSSDs2
150.0,1003,32.0,FixedSSDs2
200.0,1003,-13.95,FixedSSDs2
250.0,1003,-41.72413793103448,FixedSSDs2
300.0,1003,-33.91428571428571,FixedSSDs2
350.0,1003,2.5945945945945947,FixedSSDs2
400.0,1003,-15.166666666666664,FixedSSDs2
450.0,1003,17.315789473684212,FixedSSDs2
500.0,1003,0.5,FixedSSDs2
0.0,1004,11.5625,FixedSSDs2
50.0,1004,-10.3,FixedSSDs2
100.0,1004,6.837837837837838,FixedSSDs2
150.0,1004,-19.37037037037037,FixedSSDs2
200.0,1004,6.212121212121213,FixedSSDs2
250.0,1004,17.166666666666668,FixedSSDs2
300.0,1004,0.975,FixedSSDs2
350.0,1004,-11.903225806451614,FixedSSDs2
400.0,1004,3.948717948717949,FixedSSDs2
450.0,1004,-7.0,FixedSSDs2
500.0,1004,6.8055555555555545,FixedSSDs2
0.0,1005,19.5,FixedSSDs2
50.0,1005,2.6666666666666665,FixedSSDs2
100.0,1005,71.85714285714286,FixedSSDs2
150.0,1005,2.6666666666666665,FixedSSDs2
200.0,1005,-3.9090909090909087,FixedSSDs2
250.0,1005,19.06451612903226,FixedSSDs2
300.0,1005,-16.363636363636363,FixedSSDs2
350.0,1005,-18.032258064516128,FixedSSDs2
400.0,1005,-25.0,FixedSSDs2
450.0,1005,-14.162162162162161,FixedSSDs2
500.0,1005,-10.075,FixedSSDs2
0.0,1006,-3.0,FixedSSDs2
50.0,1006,,FixedSSDs2
100.0,1006,55.66666666666666,FixedSSDs2
150.0,1006,151.75,FixedSSDs2
200.0,1006,-34.0,FixedSSDs2
250.0,1006,-56.2,FixedSSDs2
300.0,1006,-84.9375,FixedSSDs2
350.0,1006,-42.89473684210526,FixedSSDs2
400.0,1006,2.896551724137931,FixedSSDs2
450.0,1006,-27.30769230769231,FixedSSDs2
500.0,1006,11.84375,FixedSSDs2
0.0,1007,24.6875,FixedSSDs2
50.0,1007,45.9375,FixedSSDs2
100.0,1007,-10.45,FixedSSDs2
150.0,1007,0.8260869565217391,FixedSSDs2
200.0,1007,18.08695652173913,FixedSSDs2
250.0,1007,-16.133333333333333,FixedSSDs2
300.0,1007,-16.28125,FixedSSDs2
350.0,1007,3.8055555555555554,FixedSSDs2
400.0,1007,8.974358974358974,FixedSSDs2
450.0,1007,-7.15625,FixedSSDs2
500.0,1007,-9.09375,FixedSSDs2
0.0,1008,6.384615384615384,FixedSSDs2
50.0,1008,50.555555555555564,FixedSSDs2
100.0,1008,17.875,FixedSSDs2
150.0,1008,-26.91666666666667,FixedSSDs2
200.0,1008,-62.66666666666666,FixedSSDs2
250.0,1008,-80.76923076923076,FixedSSDs2
300.0,1008,30.47826086956522,FixedSSDs2
350.0,1008,-120.20833333333331,FixedSSDs2
400.0,1008,-74.62962962962962,FixedSSDs2
450.0,1008,-40.23529411764706,FixedSSDs2
500.0,1008,60.18181818181818,FixedSSDs2
0.0,1009,,FixedSSDs2
50.0,1009,60.7,FixedSSDs2
100.0,1009,21.625,FixedSSDs2
150.0,1009,15.8,FixedSSDs2
200.0,1009,-4.125,FixedSSDs2
250.0,1009,29.34375,FixedSSDs2
300.0,1009,23.36842105263158,FixedSSDs2
350.0,1009,5.365853658536587,FixedSSDs2
400.0,1009,-0.4878048780487805,FixedSSDs2
450.0,1009,-2.0769230769230766,FixedSSDs2
