subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,100.0,53,3,-25.333333333333332,388.0,413.3333333333333
1,150.0,102,23,-63.0,400.9130434782609,463.9130434782609
1,200.0,129,43,-23.976744186046513,436.90697674418607,460.8837209302326
1,250.0,107,40,-49.025,450.3,499.325
1,300.0,49,22,-52.63636363636363,455.1363636363636,507.77272727272725
1,350.0,26,11,-92.18181818181819,491.1818181818182,583.3636363636364
1,400.0,7,3,-57.333333333333336,499.6666666666667,557.0
10,400.0,9,4,20.75,629.5,608.75
10,450.0,8,2,-7.0,478.0,485.0
10,500.0,8,2,9.0,623.0,614.0
10,550.0,24,3,-57.333333333333336,667.0,724.3333333333334
10,600.0,29,5,-75.6,721.4,797.0
10,650.0,48,13,-186.15384615384616,777.5384615384615,963.6923076923077
10,700.0,61,16,-94.0,794.625,888.625
11,200.0,13,3,97.0,558.3333333333334,461.3333333333333
11,250.0,26,7,-224.85714285714286,469.0,693.8571428571429
11,300.0,40,11,-35.27272727272727,523.1818181818181,558.4545454545455
11,350.0,39,12,-36.0,509.0833333333333,545.0833333333334
11,400.0,51,14,-78.71428571428571,600.0,678.7142857142857
11,450.0,33,10,-155.5,574.1,729.6
11,500.0,43,11,-144.1818181818182,629.9090909090909,774.0909090909091
11,550.0,43,12,-110.5,705.8333333333334,816.3333333333334
11,600.0,55,13,-190.84615384615384,674.0,864.8461538461538
11,650.0,54,17,-116.52941176470588,681.3529411764706,797.8823529411765
11,700.0,23,10,-241.7,665.8,907.5
12,500.0,17,2,-42.5,645.0,687.5
12,550.0,39,7,-0.7142857142857143,643.7142857142857,644.4285714285714
12,600.0,76,14,-100.85714285714286,650.7857142857143,751.6428571428571
12,650.0,101,29,-92.17241379310344,758.1724137931035,850.3448275862069
12,700.0,88,32,-27.75,830.25,858.0
13,150.0,49,6,-42.333333333333336,413.0,455.3333333333333
13,200.0,113,19,-92.0,373.2631578947368,465.2631578947368
13,250.0,133,48,-74.4375,409.9791666666667,484.4166666666667
13,300.0,89,33,-50.03030303030303,466.8484848484849,516.8787878787879
13,350.0,51,21,-61.38095238095238,469.4761904761905,530.8571428571429
13,400.0,20,13,-29.53846153846154,508.38461538461536,537.9230769230769
13,450.0,11,3,-109.33333333333333,450.0,559.3333333333334
13,500.0,6,3,-50.666666666666664,609.6666666666666,660.3333333333334
14,150.0,91,11,-48.36363636363637,399.1818181818182,447.54545454545456
14,200.0,152,41,-33.073170731707314,453.2439024390244,486.3170731707317
14,250.0,147,54,-18.01851851851852,433.18518518518516,451.2037037037037
14,300.0,59,32,-21.78125,460.8125,482.59375
14,350.0,14,6,8.666666666666666,424.1666666666667,415.5
15,100.0,63,13,-24.53846153846154,454.3076923076923,478.84615384615387
15,150.0,93,22,-26.363636363636363,469.45454545454544,495.8181818181818
15,200.0,115,35,-27.114285714285714,495.2857142857143,522.4
15,250.0,68,27,-4.62962962962963,478.3703703703704,483.0
15,300.0,40,19,-84.36842105263158,457.5263157894737,541.8947368421053
15,350.0,29,10,31.3,551.1,519.8
15,400.0,22,8,-0.5,540.75,541.25
15,450.0,8,5,-68.8,602.4,671.2
16,200.0,37,2,29.5,523.0,493.5
16,250.0,91,17,-41.294117647058826,472.3529411764706,513.6470588235294
16,300.0,132,30,-98.16666666666667,460.3,558.4666666666667
16,350.0,129,49,-54.55102040816327,498.2244897959184,552.7755102040817
16,400.0,70,33,-52.666666666666664,513.6363636363636,566.3030303030303
16,450.0,18,14,-80.42857142857143,532.2142857142857,612.6428571428571
17,300.0,46,7,-138.28571428571428,416.0,554.2857142857143
17,350.0,86,20,-123.05,454.7,577.75
17,400.0,118,34,-62.35294117647059,512.8529411764706,575.2058823529412
17,450.0,117,36,-79.55555555555556,527.5277777777778,607.0833333333334
17,500.0,68,33,-74.87878787878788,573.0909090909091,647.969696969697
17,550.0,15,8,-74.625,581.125,655.75
17,600.0,4,3,12.0,647.0,635.0
18,250.0,6,2,69.5,507.0,437.5
18,300.0,14,2,165.5,640.5,475.0
18,350.0,34,6,-56.0,502.0,558.0
18,400.0,37,13,-64.15384615384616,508.2307692307692,572.3846153846154
18,450.0,55,11,-11.454545454545455,609.5454545454545,621.0
18,500.0,87,20,-97.85,601.35,699.2
18,550.0,96,28,-74.07142857142857,656.7857142857143,730.8571428571429
18,600.0,84,29,-105.75862068965517,671.1724137931035,776.9310344827586
18,650.0,43,18,-46.94444444444444,712.4444444444445,759.3888888888889
18,700.0,15,7,-87.42857142857143,730.7142857142857,818.1428571428571
19,150.0,15,2,50.0,453.0,403.0
19,200.0,60,7,-12.428571428571429,457.85714285714283,470.2857142857143
19,250.0,136,25,-45.84,423.36,469.2
19,300.0,153,55,-45.29090909090909,458.6909090909091,503.9818181818182
19,350.0,92,39,-39.35897435897436,484.12820512820514,523.4871794871794
19,400.0,17,10,-64.2,507.1,571.3
19,450.0,4,4,49.25,537.0,487.75
2,150.0,28,3,-110.66666666666667,391.6666666666667,502.3333333333333
2,200.0,81,13,-96.15384615384616,482.38461538461536,578.5384615384615
2,250.0,149,33,-159.5151515151515,480.75757575757575,640.2727272727273
2,300.0,120,47,-99.76595744680851,494.5531914893617,594.3191489361702
2,350.0,70,28,-86.35714285714286,519.25,605.6071428571429
2,400.0,24,13,-199.46153846153845,506.46153846153845,705.9230769230769
2,450.0,4,2,-7.0,489.0,496.0
20,200.0,26,4,26.0,465.5,439.5
20,250.0,99,15,-13.333333333333334,466.8,480.1333333333333
20,300.0,152,38,-29.657894736842106,463.9736842105263,493.63157894736844
20,350.0,133,50,-69.28,479.62,548.9
20,400.0,52,28,-50.035714285714285,489.89285714285717,539.9285714285714
20,450.0,5,3,-83.0,546.3333333333334,629.3333333333334
21,350.0,28,3,-57.666666666666664,577.6666666666666,635.3333333333334
21,400.0,118,20,-97.55,551.2,648.75
21,450.0,157,45,-33.733333333333334,617.5555555555555,651.2888888888889
21,500.0,103,41,-51.90243902439025,632.9756097560976,684.8780487804878
21,550.0,47,24,-55.125,670.8333333333334,725.9583333333334
21,600.0,18,7,21.428571428571427,706.5714285714286,685.1428571428571
22,400.0,43,7,-37.57142857142857,555.8571428571429,593.4285714285714
22,450.0,113,17,-84.52941176470588,597.8823529411765,682.4117647058823
22,500.0,132,45,-45.93333333333333,605.6444444444444,651.5777777777778
22,550.0,109,38,-70.8157894736842,643.0263157894736,713.8421052631579
22,600.0,51,27,-25.333333333333332,665.3703703703703,690.7037037037037
22,650.0,11,5,1.6,754.8,753.2
23,200.0,64,10,-60.2,380.1,440.3
23,250.0,123,31,-50.16129032258065,389.48387096774195,439.64516129032256
23,300.0,143,44,-13.272727272727273,426.04545454545456,439.3181818181818
23,350.0,92,38,0.0,458.39473684210526,458.39473684210526
23,400.0,31,16,-73.3125,460.9375,534.25
23,450.0,7,3,-68.66666666666667,435.6666666666667,504.3333333333333
24,200.0,62,7,-116.28571428571429,419.57142857142856,535.8571428571429
24,250.0,141,38,-47.18421052631579,438.86842105263156,486.05263157894734
24,300.0,155,47,-33.51063829787234,473.6595744680851,507.17021276595744
24,350.0,85,37,-28.513513513513512,496.2972972972973,524.8108108108108
24,400.0,22,14,-24.5,485.92857142857144,510.42857142857144
25,150.0,31,3,-78.66666666666667,358.6666666666667,437.3333333333333
25,200.0,63,14,3.5714285714285716,473.0,469.42857142857144
25,250.0,92,22,-134.0,446.1363636363636,580.1363636363636
25,300.0,92,27,-90.55555555555556,441.037037037037,531.5925925925926
25,350.0,74,24,-53.375,492.4166666666667,545.7916666666666
25,400.0,70,23,-99.0,523.0,622.0
25,450.0,32,12,-38.666666666666664,530.3333333333334,569.0
25,500.0,14,6,11.666666666666666,555.6666666666666,544.0
26,400.0,47,4,-151.0,520.0,671.0
26,450.0,97,26,-81.8076923076923,591.7692307692307,673.5769230769231
26,500.0,114,31,-99.35483870967742,623.8387096774194,723.1935483870968
26,550.0,106,37,-90.45945945945945,656.8648648648649,747.3243243243244
26,600.0,73,27,-74.5925925925926,695.0,769.5925925925926
26,650.0,25,13,-67.61538461538461,745.8461538461538,813.4615384615385
26,700.0,4,3,-169.33333333333334,678.6666666666666,848.0
27,200.0,66,10,-56.3,401.2,457.5
27,250.0,128,33,-35.03030303030303,459.030303030303,494.06060606060606
27,300.0,140,46,-72.84782608695652,440.19565217391306,513.0434782608696
27,350.0,91,35,-68.62857142857143,506.3142857142857,574.9428571428572
27,400.0,31,18,-72.55555555555556,470.1111111111111,542.6666666666666
28,400.0,54,7,-138.28571428571428,549.5714285714286,687.8571428571429
28,450.0,98,21,-49.19047619047619,612.8571428571429,662.047619047619
28,500.0,140,42,-45.976190476190474,651.4285714285714,697.4047619047619
28,550.0,116,44,-56.25,664.6363636363636,720.8863636363636
28,600.0,43,24,-96.125,701.3333333333334,797.4583333333334
28,650.0,3,2,-78.0,769.5,847.5
29,150.0,21,2,-79.5,566.0,645.5
29,200.0,54,8,-34.75,414.25,449.0
29,250.0,85,19,-26.68421052631579,453.7368421052632,480.42105263157896
29,300.0,127,35,-88.0,465.0285714285714,553.0285714285715
29,350.0,89,35,-61.8,493.48571428571427,555.2857142857143
29,400.0,43,15,-79.73333333333333,489.46666666666664,569.2
29,450.0,33,12,0.08333333333333333,539.6666666666666,539.5833333333334
29,500.0,22,10,-33.8,539.2,573.0
29,550.0,2,2,169.5,632.5,463.0
3,150.0,74,9,-15.0,404.55555555555554,419.55555555555554
3,200.0,104,32,13.15625,402.9375,389.78125
3,250.0,109,31,-29.93548387096774,422.06451612903226,452.0
3,300.0,85,34,-51.588235294117645,470.11764705882354,521.7058823529412
3,350.0,48,17,-53.588235294117645,491.11764705882354,544.7058823529412
3,400.0,27,14,-98.28571428571429,456.7142857142857,555.0
3,450.0,11,5,-59.2,519.0,578.2
3,500.0,3,2,-87.0,522.0,609.0
30,200.0,73,11,-97.72727272727273,399.45454545454544,497.1818181818182
30,250.0,132,30,-105.5,413.3333333333333,518.8333333333334
30,300.0,138,50,-43.84,450.44,494.28
30,350.0,74,28,-42.17857142857143,473.92857142857144,516.1071428571429
30,400.0,33,19,-27.31578947368421,501.7894736842105,529.1052631578947
30,450.0,13,5,-4.8,501.8,506.6
31,100.0,21,2,-14.5,320.0,334.5
31,150.0,49,11,-134.27272727272728,300.8181818181818,435.09090909090907
31,200.0,76,15,-32.733333333333334,424.0,456.73333333333335
31,250.0,95,33,-51.84848484848485,406.6060606060606,458.45454545454544
31,300.0,89,30,-73.83333333333333,448.43333333333334,522.2666666666667
31,350.0,54,24,-44.125,464.9583333333333,509.0833333333333
31,400.0,37,10,-110.7,523.9,634.6
31,450.0,20,7,-78.71428571428571,570.4285714285714,649.1428571428571
31,500.0,14,6,-135.0,486.1666666666667,621.1666666666666
31,550.0,5,3,-31.0,725.0,756.0
32,200.0,11,2,-94.0,478.0,572.0
32,250.0,48,6,-62.666666666666664,457.6666666666667,520.3333333333334
32,300.0,70,20,-160.45,451.65,612.1
32,350.0,99,27,-63.2962962962963,514.1111111111111,577.4074074074074
32,400.0,113,34,-82.47058823529412,549.3823529411765,631.8529411764706
32,450.0,81,29,-78.75862068965517,589.6206896551724,668.3793103448276
32,500.0,41,17,-132.47058823529412,622.3529411764706,754.8235294117648
32,550.0,14,6,-41.0,698.3333333333334,739.3333333333334
4,100.0,23,4,-7.75,411.0,418.75
4,150.0,76,14,-26.428571428571427,383.2142857142857,409.64285714285717
