subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
10,0.0,10,6,-96.66666666666667,359.8333333333333,456.5
10,50.0,3,2,-97.0,279.5,376.5
12,0.0,17,13,57.61538461538461,399.46153846153845,341.84615384615387
12,50.0,6,4,64.0,374.25,310.25
13,0.0,31,14,11.214285714285714,260.35714285714283,249.14285714285714
13,50.0,25,13,-19.692307692307693,307.53846153846155,327.2307692307692
13,100.0,16,8,-8.875,342.25,351.125
13,150.0,5,3,-114.66666666666667,326.0,440.6666666666667
14,100.0,25,6,82.0,557.5,475.5
14,150.0,34,12,-56.5,355.9166666666667,412.4166666666667
14,200.0,29,15,-71.93333333333334,391.1333333333333,463.06666666666666
14,250.0,15,9,-23.88888888888889,390.55555555555554,414.44444444444446
15,0.0,22,12,5.0,291.9166666666667,286.9166666666667
15,50.0,17,8,-85.5,271.875,357.375
15,100.0,18,9,-42.22222222222222,298.3333333333333,340.55555555555554
15,150.0,10,4,-68.5,295.75,364.25
16,0.0,16,7,6.285714285714286,306.0,299.7142857142857
16,50.0,16,7,-59.285714285714285,249.85714285714286,309.14285714285717
16,100.0,9,7,52.142857142857146,347.42857142857144,295.2857142857143
17,0.0,13,6,-20.0,292.6666666666667,312.6666666666667
17,50.0,12,5,-45.4,291.2,336.6
17,100.0,12,4,-36.5,279.25,315.75
17,150.0,7,2,-8.0,321.5,329.5
18,0.0,25,10,2.2,306.3,304.1
18,50.0,30,14,-46.357142857142854,260.7857142857143,307.14285714285717
18,100.0,26,16,24.75,308.125,283.375
18,150.0,13,8,8.375,312.625,304.25
18,200.0,4,2,-46.0,291.0,337.0
19,0.0,3,3,-62.0,277.6666666666667,339.6666666666667
19,200.0,2,2,-11.0,307.0,318.0
2,0.0,21,6,10.0,445.6666666666667,435.6666666666667
2,50.0,21,7,-98.85714285714286,294.0,392.85714285714283
2,100.0,12,10,-0.5,406.8,407.3
2,150.0,4,2,-32.5,476.0,508.5
20,100.0,20,2,-83.0,326.5,409.5
20,150.0,37,13,-42.69230769230769,412.84615384615387,455.53846153846155
20,200.0,35,13,16.846153846153847,433.38461538461536,416.53846153846155
20,250.0,18,11,-3.909090909090909,454.6363636363636,458.54545454545456
21,0.0,14,7,31.857142857142858,298.7142857142857,266.85714285714283
21,50.0,7,5,0.4,262.0,261.6
22,50.0,9,2,50.5,416.5,366.0
22,100.0,21,5,-64.8,363.6,428.4
22,150.0,30,14,-44.5,353.7857142857143,398.2857142857143
22,200.0,23,12,-2.9166666666666665,353.25,356.1666666666667
22,250.0,17,6,8.666666666666666,406.5,397.8333333333333
23,0.0,8,5,-19.4,306.4,325.8
23,50.0,4,2,-93.0,215.0,308.0
23,100.0,2,2,-47.5,338.5,386.0
24,0.0,26,13,-7.6923076923076925,247.92307692307693,255.6153846153846
24,50.0,18,11,-31.363636363636363,302.72727272727275,334.09090909090907
24,100.0,12,5,-142.6,348.6,491.2
24,150.0,10,5,33.6,380.0,346.4
24,200.0,6,2,-24.0,330.5,354.5
24,250.0,3,3,4.333333333333333,324.0,319.6666666666667
25,0.0,29,11,-27.636363636363637,248.36363636363637,276.0
25,50.0,17,7,18.428571428571427,246.57142857142858,228.14285714285714
25,100.0,9,7,10.142857142857142,264.2857142857143,254.14285714285714
25,150.0,6,2,29.0,260.0,231.0
25,200.0,5,3,-15.333333333333334,305.0,320.3333333333333
27,0.0,25,12,-119.41666666666667,197.58333333333334,317.0
27,50.0,19,9,-59.77777777777778,252.55555555555554,312.3333333333333
27,100.0,9,7,14.857142857142858,257.7142857142857,242.85714285714286
27,150.0,5,2,0.0,273.0,273.0
27,250.0,2,2,-78.0,291.0,369.0
3,0.0,36,13,-5.153846153846154,250.53846153846155,255.69230769230768
3,50.0,35,14,-11.285714285714286,261.07142857142856,272.35714285714283
3,100.0,17,11,-25.727272727272727,273.6363636363636,299.3636363636364
3,150.0,5,3,9.333333333333334,278.0,268.6666666666667
4,0.0,17,7,-50.714285714285715,298.2857142857143,349.0
4,50.0,11,8,-94.375,244.125,338.5
4,100.0,6,3,-22.666666666666668,297.6666666666667,320.3333333333333
4,150.0,3,3,-96.0,240.66666666666666,336.6666666666667
4,250.0,2,2,-88.5,523.0,611.5
5,0.0,20,7,-12.142857142857142,292.14285714285717,304.2857142857143
5,50.0,26,10,-40.1,320.9,361.0
5,100.0,17,11,-26.727272727272727,326.8181818181818,353.54545454545456
6,0.0,9,5,-21.2,296.0,317.2
6,50.0,5,4,-53.5,285.75,339.25
7,0.0,8,2,58.0,353.0,295.0
7,50.0,27,5,47.8,377.4,329.6
7,100.0,38,14,12.571428571428571,356.2857142857143,343.7142857142857
7,150.0,26,17,-26.352941176470587,333.2352941176471,359.5882352941176
7,200.0,12,5,-6.2,338.4,344.6
7,250.0,4,4,-57.5,319.5,377.0
8,0.0,12,8,-20.625,304.0,324.625
8,50.0,12,4,0.5,373.25,372.75
8,100.0,16,7,-9.285714285714286,370.57142857142856,379.85714285714283
8,150.0,14,7,-42.714285714285715,342.2857142857143,385.0
8,200.0,8,4,9.75,404.0,394.25
8,250.0,3,3,-92.33333333333333,317.6666666666667,410.0
9,0.0,15,7,-22.142857142857142,391.42857142857144,413.57142857142856
9,50.0,12,5,-78.4,437.8,516.2
9,100.0,13,5,-13.8,412.0,425.8
9,150.0,9,5,28.2,436.2,408.0
9,200.0,3,2,2.5,530.5,528.0
